FEN,Moves,MateIn,Winner
r7/2Q4k/4b1nP/3p1pR1/3PpPp1/1P2P3/q5P1/5K2 b - - 1 32,h7h6 g5h5 h6h5 c7h7,2,White
5rk1/6pp/8/p2QN3/3P4/P5PK/1P1q3P/8 b - - 4 37,g8h8 e5f7 h8g8 f7h6 g8h8 d5g8 f8g8 h6f7,4,White
5r1k/p4N1p/1p2QPp1/4P3/3P1P2/P7/1n2KB2/2q5 b - - 2 37,f8f7 e6e8 f7f8 e8f8,2,White
8/pp6/5r2/4n2R/K1k5/P1P4P/1r5P/3R4 w - - 7 28,h5e5 f6a6 e5a5 b7b5,2,Black
3r3k/6pp/p7/2K5/5q2/7Q/PPP4b/8 b - - 0 41,d8c8 h3c8 f4f8 c8f8,2,Black
1k5r/pp3p2/2qR4/5Q2/8/2N1BR1p/PPP4P/7K w - - 1 25,e3f4 c6f3 h1g1 f3g2,2,White
7k/4b3/7p/3B1Pp1/Q1P1p1P1/5Pq1/6P1/R6K w - - 0 43,d5e4 g3h4 h1g1 e7c5 g1f1 h4f2,3,White
4rQ1k/pp4pp/3b4/3p4/2nP4/1NP2R1P/PP2r1P1/5RK1 b - - 4 24,d6f8 f3f8 e8f8 f1f8,2,White
5r1k/pp2qrp1/4p1Qp/3pp1PR/8/2P4R/PP3P1P/6K1 b - - 0 26,f7f2 h5h6 g7h6 h3h6 e7h7 h6h7,3,White
r1qr2k1/ppp2pp1/6Q1/8/3B4/1B3P1P/PPP2P1K/8 b - - 0 21,d8d4 g6f7 g8h8 f7h5,2,White
r5k1/p4Rp1/1p4Qp/n3q3/2P3R1/7K/P2p2P1/8 b - - 3 32,d2d1q f7g7 e5g7 g6g7,2,White
8/6P1/8/B1b5/6n1/3k1N2/4p3/4K3 w - - 1 67,f3e5 g4e5 g7g8q e5f3,2,Black
2kr1r2/1R5p/p1p5/P1N3p1/3P4/4B1q1/3Q1Rbb/7K w - - 0 30,f2g2 f8f1 e3g1 f1g1 g2g1 g3g1,3,Black
2k5/1pQ2p2/p1p2p2/P7/1P1B4/2P2PP1/4r2q/3R1K2 b - - 4 35,c8c7 d4b6 c7c8 d1d8,2,White
5r1k/3R3p/1p3QpP/3pN3/p2q2P1/P7/5PK1/8 b - - 3 39,f8f6 d7d8 f6f8 d8f8,2,White
5rk1/5pp1/1p5p/p2PP3/P1Q1nP2/1B2qNR1/6PP/6K1 w - - 7 39,g1h1 e4f2 h1g1 f2h3 g1h1 e3g1 f3g1 h3f2,4,Black
8/pp3p1k/3q1p1p/3p4/2pQ4/2P2brP/PP3P2/4R1K1 w - - 0 29,f2g3 d6g3 g1f1 g3g2,2,Black
1r5k/5Qnp/p3p1p1/8/K1P1q1pP/8/5R2/8 b - - 0 47,e4d3 f7f8 b8f8 f2f8,2,Black
1k5r/1p6/2p5/8/1PB2p2/2P2P2/1P3P1r/2R2RK1 w - - 0 30,f1e1 h2h1 g1g2 h8h2,2,Black
1k1r1r2/p1p1n3/B7/2N5/3P3q/PR2P3/1P2K3/8 b - - 8 33,b8a8 a6b7 a8b8 c5a6,2,White
6k1/5pp1/B1P5/8/P4Pb1/2PP3p/3Br3/RN4K1 w - - 1 27,c6c7 h3h2 g1f1 h2h1q,2,Black
6rk/1R4Qp/p6r/5P2/3p4/P2P4/2Pq3P/6RK b - - 0 31,g8g7 b7b8 g7g8 g1g8,2,White
3q3k/3r3n/2p1QbPP/5p2/1pP2P2/pP6/P7/1K1R3R w - - 1 41,g6h7 d7d1 h1d1 d8d1,2,White
5k1r/pR1Q1ppp/4b3/2Pp2q1/3B4/5B2/P4PPP/4R1K1 w - - 1 26,e1e6 g5c1 f3d1 c1d1 e6e1 d1e1,3,White
8/6Bk/5K1P/3bp1P1/4p3/4P3/p4P2/8 b - - 1 61,a2a1q g5g6 h7g8 h6h7,2,White
r4k2/pp3p2/2pr2p1/4R3/8/1P3Q1R/P4PPP/3q2K1 w - - 1 31,f3d1 d6d1 e5e1 d1e1,2,Black
8/4Q1pk/1B2pp1p/8/5PPK/3r3P/1P4b1/8 w - - 1 37,g4g5 d3h3 h4g4 f6f5,2,Black
r5k1/ppp1RRr1/6p1/1q1P3p/3P4/2b2QP1/5PKP/8 b - - 0 29,c3d4 f7g7 d4g7 f3f7 g8h8 f7g7,3,White
Qn2k2r/3bppbp/3p2p1/2pP2B1/2P1n1P1/1pq2PNP/8/R2K1BNR b k - 3 23,e4g5 a8b8 d7c8 b8c8,2,Black
6k1/1N3ppp/6q1/1N2p3/P3Pn2/2P2P2/1P1Qn3/R4BK1 w - - 1 31,g1f2 g6g3 f2e3 g3g1,2,Black
3Q4/1p4pk/pB6/P6r/4b2N/5r2/1P3P2/5BKq w - - 12 37,g1h1 f3h3 h1g1 h3h1,2,Black
5r1k/7p/4pBR1/p2pPp2/5P2/P3P3/1P2q1PP/2R3K1 b - - 0 29,f8f6 c1c8 f6f8 c8f8,2,White
8/2Q4p/p3p1pk/3pPp2/1p1P1nPP/q3B3/6RK/8 b - - 1 39,a3e3 g4g5 h6h5 c7h7,2,White
6rk/5RR1/4pN2/3pPp2/3P4/1p1n3P/1r4P1/6K1 b - - 9 37,g8g7 f7f8 g7g8 f8g8,2,White
r3k2r/1Q3p1p/p2p2pb/3PP3/3qb3/1P3NP1/P5KP/R1B1nB1R w kq - 5 18,g2h3 e4f5 g3g4 d4g4,2,Black
1k1r2r1/pp1n1p2/4p3/N7/4QbPp/1P1P3n/PB3PB1/2R1RKq1 w - - 2 27,f1e2 g1f2 e2d1 f2d2,2,Black
1r1r4/R6p/5b1k/3BpPP1/4P1P1/4B3/P3q3/2R3K1 b - - 0 29,f6g5 c1c6 d8d6 c6d6,2,White
2R4k/p4Bp1/1p6/6P1/1q1p3P/3R4/P3r3/K7 b - - 2 35,h8h7 g5g6 h7h6 c8h8,2,White
r1r3Bk/1pq2pp1/4p3/3pn1B1/p6R/P1P4P/1PQ1bPP1/6K1 b - - 1 29,h8g8 c2h7 g8f8 h7h8,2,White
5r1k/6pp/1p6/8/3Rp3/P7/1P3qPP/3Q2K1 w - - 0 30,g1h1 f2f1 d1f1 f8f1,2,Black
Q1kr1bnr/p1p2ppp/1p6/4p3/3q3N/7P/5PP1/1RR3K1 b - - 1 19,c8d7 a8c6 d7c8 c6c7,2,White
2rR2k1/2Q2ppb/1p2q2p/p3N3/4n3/4N3/PP3PPP/6K1 b - - 2 23,c8d8 c7d8 e6e8 d8e8,2,White
5rk1/p1p2Rp1/2p4p/7N/4Q3/6N1/6PP/3r3K w - - 1 31,g3f1 d1f1 f7f1 f8f1,2,Black
1r3qrk/pppb1p2/2np1Pp1/6QR/2PP4/4P2P/P3B1P1/1RB3K1 b - - 0 22,g6h5 g5h5 f8h6 h5h6,2,White
r1b3k1/3n2p1/p1q1p1P1/1ppp3Q/3P4/2P1P1b1/PP4PP/5RK1 b - - 0 19,d7f8 h5h8 g8h8 f1f8,2,White
r1b2r1k/5NpB/p3p3/1p2q3/5n2/8/PPQ2PPP/2RR2K1 b - - 0 22,f8f7 d1d8 f7f8 d8f8,2,White
r1bR1b1k/p4rBp/2p2p2/4p3/2P2P2/2N5/PP5P/2K3R1 b - - 0 21,f7g7 d8f8 g7g8 g1g8,2,White
3R2k1/1bp3p1/7p/1p2p2n/4P1Q1/5P2/2q3PP/7K b - - 2 34,g8h7 g4f5 g7g6 f5f7 h5g7 f7g8,3,White
8/5pk1/1QB3p1/5n1p/1p4q1/1P4PK/5P1P/8 w - - 2 41,h3g2 f5h4 g2h1 g4d1,2,Black
R7/6pk/7r/2Bp2P1/p2Pb2K/P3P2P/6r1/4R3 w - - 1 46,g5h6 g7g5 h4h5 e4g6,2,Black
4rk2/p4P2/8/1Ppb4/4n3/1P4p1/P1Q5/2R2RKq w - - 0 41,g1h1 e4f2 h1g1 f2h3,2,Black
6rk/p1p1R2p/2pp4/8/4p1P1/2B1P3/PPK5/5q2 b - - 1 28,g8g7 e7e8 f1f8 e8f8,2,White
6k1/1bQ3p1/3p2P1/3qpp1p/7P/1P4PK/4n3/6R1 b - - 1 40,d5e6 c7d8 e6e8 d8e8,2,Black
3r4/1Q3Qpk/7p/1P2p1q1/4P2P/8/5PP1/R2q2K1 w - - 0 35,a1d1 d8d1 g1h2 g5h4,2,Black
rqb2r1k/1p3Qpp/p3p3/5p2/1P2n3/P3P2P/BB4P1/2RR2K1 b - - 3 29,f8f7 d1d8 f7f8 d8f8,2,White
r2qr1k1/1p2b3/p1n1pn1Q/3p2N1/8/2NB4/PPP2PPP/2KR4 b - - 1 16,e7f8 d3h7 f6h7 h6h7,2,White
r3bq1k/bp4pQ/8/p4P2/P1Bp1R2/2P5/1P5P/5R1K b - - 0 26,h8h7 f4h4 e8h5 h4h5,2,White
8/pQ6/8/kp4R1/1q1r4/1P3p2/P1P2P2/R2K4 w - - 0 33,d1c1 b4a3 c1b1 d4d1,2,Black
4r1k1/B4ppp/4p3/1Q1p4/3P4/1P2q2n/P5PP/5RK1 w - - 4 27,g1h1 e3g1 f1g1 h3f2,2,Black
2r3rk/p2q1p1p/1p2pPpQ/3pP3/3P2P1/5R2/P1P4P/R5K1 b - - 5 23,d7a4 h6h7 h8h7 f3h3,2,White
4R3/pp6/4Q3/8/6r1/PP2K1k1/5q2/8 w - - 3 46,e3d3 g4d4 d3c3 f2d2,2,Black
Q7/1R3pk1/5p2/1Bp1pP2/5b2/5K1P/2Pr4/6n1 w - - 0 39,f3g4 d2g2 g4h5 g2g5 h5h4 g1f3,3,Black
2rq2k1/2R3R1/4p1pp/4P2n/pp2P3/5Q1P/PP3PP1/6K1 b - - 2 26,h5g7 f3f7 g8h8 f7g7,2,White
5Rk1/pp6/2p3p1/3nP1b1/3P4/1QP5/PP1rq3/1K3R2 b - - 2 28,g8g7 f1f7 g7h6 f8h8,2,White
r4r1k/1q2b1pQ/p2p1p2/np1NpP2/4R3/1BP3P1/PP3P1P/R5K1 b - - 0 19,h8h7 e4h4 h7g8 d5e7,2,White
3r3r/2k2p2/N3p3/3p4/6p1/Q5Pp/PP1q1P1P/2R3K1 b - - 0 38,c7d7 c1c7 d7e8 a3e7,2,White
8/3P4/5p1p/8/4P1PP/pp6/2k5/K7 w - - 1 47,d7d8q b3b2 a1a2 b2b1q a2a3 b1b3,3,Black
8/2P5/p7/P7/8/6p1/5k1p/7K w - - 2 55,c7c8q g3g2 h1h2 g2g1q h2h3 g1g3,3,Black
k4br1/1ppq1p2/3p1P2/1P5p/2P1PPr1/Q3B3/5RP1/6K1 b - - 1 26,a8b8 a3a7 b8c8 a7a8,2,White
r2r2k1/pb2pp1p/1p2p1pQ/n7/q1P1P1P1/P4Pn1/1B6/1R2K2R b K - 1 25,f7f6 h6h7 g8f8 h7h8 f8f7 h1h7,3,White
r5k1/3R1pp1/2p4p/8/2QNP3/1p2qPN1/1P4PP/5K2 w - - 6 34,c4e2 a8a1 e2e1 a1e1,2,White
6r1/Q1p2p1k/2p2b2/3p2rn/2P3q1/7P/PP1N1P2/R4RK1 w - - 0 25,h3g4 g5g4 g1h1 g4h4,2,Black
2r1r1k1/Q2R1ppp/1p6/8/8/8/PP3PPP/5qK1 w - - 0 22,g1f1 c8c1 d7d1 c1d1,2,Black
r3r1k1/p4ppp/2pb4/3p4/3P2n1/1PP4P/1PQ1RqP1/RNB3K1 w - - 0 19,e2f2 e8e1 f2f1 d6h2 g1h1 e1f1,3,Black
3r1kQ1/r7/4p3/pp2P3/2p5/2P3R1/P4qPK/8 b - - 2 31,f8e7 g3g7 f2f7 g7f7,2,White
5rk1/p3Q1pp/4Br2/3p4/2pP4/2P1PR1P/1q4P1/6K1 b - - 0 25,g8h8 e7f8 f6f8 f3f8,2,White
2k4R/pp3p2/4b1r1/3pB3/8/1P4P1/r4PKP/5B2 b - - 3 35,c8d7 f1b5 d7e7 h8e8,2,White
1Q6/8/3p2B1/6p1/8/P3qK1P/3k2P1/8 w - - 1 51,f3g4 e3f4 g4h5 f4h4,2,Black
5r1k/pp5p/4P1q1/8/8/1BN2p2/PP1Q1P2/6K1 w - - 1 33,g1f1 g6g2 f1e1 g2g1,2,Black
4R1kr/2rp1pp1/1p3n1p/p7/q7/2P2Q2/5PPP/4R1K1 b - - 1 29,f6e8 e1e8 g8h7 f3f5 g7g6 f5f7,3,White
2r4k/p5pp/1p6/1Q2P3/5Pqn/2N5/PP5P/R1B2RrK w - - 2 25,f1g1 g4f3 g1g2 f3g2,2,Black
5R2/6pk/p3Q1Np/K2p2bP/q1r5/2P5/PP4P1/8 w - - 3 34,a5b6 a4b5 b6a7 c4c7 a7a8 b5b7,3,Black
r4qk1/pp5p/2r2BRQ/4P3/8/7P/b5P1/4R1K1 b - - 0 34,h7g6 h6g6 f8g7 g6g7,2,White
r4rk1/p1p3pp/2n1Q2N/3pp3/3P3P/2PKP3/q2N4/3R4 b - - 5 23,g8h8 e6g8 f8g8 h6f7,2,White
3rr2k/p4p2/5Pp1/6Q1/3R4/5qBp/P1PR3P/6K1 b - - 5 35,d8d4 g5h6 h8g8 h6g7,2,White
4r1k1/ppb1rppp/n1pP4/2P5/Q4p2/1P3B2/PB3PPP/R2q2K1 w - - 0 21,a1d1 e7e1 d1e1 e8e1,2,Black
8/2R4R/3P2k1/4p1pp/3pP3/3P2PK/1r5P/8 w - - 2 40,d6d7 g5g4 h3h4 b2h2,2,White
r1b2rkR/p1qnb1p1/1pn3P1/2p5/3p1PN1/2p1P1P1/PP2Q3/R1B1K3 b Q - 1 19,g8h8 e2h2 e7h4 h2h4 h8g8 h4h7,3,White
5r2/qk6/pP6/6p1/Q1NnP2p/2P5/P5PP/6K1 w - - 1 35,b6a7 d4e2 g1h1 f8f1,2,White
r4kR1/1b1pb3/p3p2B/qp2np2/4B3/2N5/PPP5/1K4R1 b - - 1 28,f8f7 g1g7 f7f6 h6g5,2,White
6k1/1ppr1ppp/3q1B2/p7/P3p3/1P2P3/2Q2PPP/1R1r2K1 w - - 0 22,b1d1 d6d1 c2d1 d7d1,2,Black
3rkb1r/1pp1p1pp/pq2p3/8/1nP1P3/1PNn1P2/P2BB1PP/R2QK2R w KQk - 3 15,e2d3 b4d3 e1f1 b6f2,2,Black
r1b2r1k/ppp4B/4p3/2b3N1/5P2/2B2K2/PP4PP/n7 b - - 1 20,e6e5 c3e5 f8f6 e5f6,2,White
r1q3k1/1pp3p1/p1n2pp1/3Q4/2P3r1/B5R1/P2N4/3K4 b - - 1 33,g8h7 g3h3 g4h4 h3h4,2,White
3R3k/1b3Qp1/pp5p/2b1P2n/P7/2q2P2/6PP/7K b - - 1 29,h8h7 f7f5 g7g6 f5f7 h5g7 f7g8,3,White
2rk1b1r/2Qp1ppp/1p1P4/8/2pq1Bn1/6P1/P5BP/R3R2K b - - 4 28,c8c7 d6c7 d8c8 e1e8,2,White
r5kR/pp1qrpb1/8/2p3N1/3p1PPQ/8/PPP4P/3R2K1 b - - 4 26,g7h8 h4h7 g8f8 h7h8,2,White
3r3R/3k3R/2pPrp2/1pP5/4P3/3n2K1/6P1/8 b - - 13 50,d7c8 h7c7 c8b8 h8d8,2,White
2k4r/p4pp1/2nqp1p1/3p4/Q1pP4/2P1P1r1/P3BP1N/1R3RK1 w - - 0 20,f2g3 d6g3 g1h1 g3h2,2,Black
6k1/p4pp1/2p3rp/4PP2/7r/2P1B2q/PP2QRP1/R5K1 w - - 1 30,f2f3 h3h1 g1f2 g6g2,2,Black
1r2r2k/pp6/4pp2/3p3b/P2P1R1p/2P4P/1P3K2/3Q2R1 b - - 0 34,h5d1 f4h4 d1h5 h4h5,2,White
6k1/5Rpq/4P3/1p4Q1/5P2/3r3P/3r2PK/4R3 w - - 3 44,e6e7 d3h3 h2g1 h3h1,2,White
5r1k/7p/p3p3/1pp3Q1/1q2p3/3P2R1/PPP3PP/2Kr4 w - - 0 35,c1d1 f8f1 d1e2 b4e1,2,Black
3r2k1/2pNP1pp/6b1/3p4/p2pp3/8/PPP3PP/5RK1 b - - 0 26,d8e8 f1f8 e8f8 e7f8q,2,White
7k/7p/3p4/1Np1bQ2/7q/PP2P2P/2P3r1/5RK1 w - - 0 25,g1g2 h4g3 g2h1 g3h2,2,Black
r2q1r1k/2p2p2/1p1pbn1P/p2Pp1Q1/4P3/P1B5/1PP2P2/2K3RR b - - 4 25,f8g8 g5g7 g8g7 h6g7 h8g8 h1h8,3,White
4r1k1/5p1p/3R2pP/p3Q1P1/1p6/8/PP6/1K6 b - - 0 35,e8e5 d6d8 e5e8 d8e8,2,White
r3q1kr/1p3p1p/p2p1NpB/2pP1b2/2Pb4/4QP2/PP4PP/4RRK1 b - - 4 20,d4f6 e3e8 a8e8 e1e8,2,White
3R2k1/5p2/p7/1p3qpp/5P2/P1P2QKP/1P4P1/4r1b1 b - - 1 36,g8h7 f3h5 h7g7 h5h8 g7g6 d8g8,3,Black
rn2k3/pp3p2/2pbp3/5p2/2PPnP1q/P3P1r1/4N1K1/RNBQ3R w q - 0 17,e2g3 h4g3 g2f1 g3f2,2,Black
7k/p5bp/3p2p1/8/2P1P1Q1/3P4/P4RPP/4q1K1 w - - 1 25,f2f1 g7d4 g1h1 e1f1,2,Black
7r/p1Q2p2/2pR2p1/2P1k3/4p3/2P1P1q1/P4KP1/1R6 w - - 10 31,f2e2 g3g2 e2d1 h8h1,2,White
8/5p2/8/3r4/7P/kp4P1/5r2/1K1R4 w - - 0 52,d1d5 f2f1 d5d1 f1d1,2,Black
5rk1/5Qpp/p3p3/1p6/2r1P3/2P5/PPq3PP/3R1RK1 b - - 0 22,f8f7 d1d8 f7f8 f1f8,2,White
4r3/7k/2Q3Rp/1p1p1n2/4nB1P/5q2/5P2/4K1R1 b - - 1 37,f3f4 g6g7 f5g7 c6g6 h7h8 g6g7,3,Black
5r1k/6pp/2p1Q3/4p3/1BP1p3/1P2P1P1/Pq2b3/R3R1Kr w - - 2 31,g1h1 e2f3 h1g1 b2g2,2,Black
7k/6R1/p1b2r1P/2Np2N1/1pn5/2P4R/PP6/2K1r3 w - - 5 38,c1c2 f6f2 c2d3 e1d1,2,Black
6k1/p5pp/8/1p4r1/2Q4K/3r1N2/4P1q1/4R3 b - - 0 42,g8h8 c4c8 d3d8 c8d8,2,Black
7k/2q3pp/Q4p2/8/8/7P/2P3PK/R2r4 w - - 3 37,g2g3 c7c2 a6e2 c2e2,2,Black
rq3r2/4R1kp/6N1/3P2PQ/1p3p2/7P/p7/2K5 b - - 1 42,f8f7 e7f7 g7f7 h5h7 f7e8 h7e7,3,White
5rk1/7p/p4NpQ/1p1q1p2/2p1R3/2P4P/r5PK/8 b - - 3 36,f8f6 e4e8 g8f7 h6f8,2,White
2r2Q1k/1b4pp/p2b4/1p3R2/2p1P3/P2P2qP/1PPN2P1/5RK1 b - - 7 27,d6f8 f5f8 c8f8 f1f8,2,White
8/2R5/2nBpk1p/5p1r/5Kp1/8/5P2/8 b - - 2 33,c6d4 d6e5 f6g6 c7g7,2,Black
r4rk1/pp3ppp/2pp4/6q1/2B1Pn2/2N2P1b/PPPQ1P1P/3RR2K w - - 4 16,e1g1 h3g2 g1g2 g5g2,2,Black
8/p1P5/p7/8/3P4/6p1/5k1p/7K w - - 2 51,c7c8q g3g2 h1h2 g2g1q h2h3 g1g3,3,Black
4r1r1/1p3q1k/5Pp1/3pP1QR/p1pP4/2P4R/2P4P/7K b - - 0 31,g6h5 h3h5 f7h5 g5h5,2,White
2kr1b2/ppp1ppp1/2Bq4/3p4/6n1/1P2PpP1/PBPP1P2/RN1Q1R1K w - - 1 12,d1f3 d6h6 h1g1 h6h2,2,Black
1k2Q3/b1p2pp1/8/PP6/3qP3/1KP1r2P/8/R7 b - - 13 43,b8b7 a5a6 b7b6 e8c6,2,White
8/2p2K1k/2p5/p1r3P1/5R2/8/8/8 b - - 0 56,c5g5 f4h4 g5h5 h4h5,2,White
3r3k/7p/4Q1p1/4b3/3qp1P1/1B5P/6PK/3R4 w - - 2 35,h2h1 d4d1 b3d1 d8d1,2,Black
7k/pppbq1p1/2n5/4b1NQ/8/7P/PP1B1PP1/6K1 b - - 12 28,h8g8 h5h7 g8f8 h7h8,2,White
2k5/ppp1Q3/7K/3p4/2PP1q2/3B4/PP4r1/R3R3 w - - 9 31,h6h7 f4h2 e7h4 h2h4,2,Black
2r3B1/p3Q2p/6pk/8/3b4/8/P4qPP/5RK1 w - - 0 32,f1f2 c8c1 e7e1 c1e1,2,Black
8/8/2B1k2N/1P4p1/PBbn4/K2n3P/8/8 w - - 3 49,a4a5 d4c2 a3a4 d3b2,2,Black
4r1k1/pp2bp1p/1np2p2/3r3Q/2q5/2B3R1/PP4PP/4R2K b - - 9 29,d5g5 g3g5 f6g5 h5g5 e7g5 e1e8,3,White
r3R2k/p1p2Qpp/1p6/2b3q1/8/2N5/PP4PP/5b1K b - - 1 21,a8e8 f7e8 c5f8 e8f8,2,White
1kr5/1p4qp/3Q3p/2p1p2r/3b4/6PN/R4P1P/1R4K1 b - - 0 36,g7c7 b1b7 b8b7 d6a6 b7b8 a6a8,3,White
7k/4P1p1/1q4Qp/3p3K/8/4p2P/6P1/8 b - - 0 38,b6g6 h5g6 e3e2 e7e8q,2,White
8/pp3pk1/3p4/8/4Q3/q5Nb/P6P/2R1R2K w - - 4 34,e4h4 a3f3 h1g1 f3g2,2,White
6k1/p4pp1/5P2/8/2QN1b1p/7P/PP4b1/4qB1K w - - 0 35,h1g2 e1g3 g2h1 g3h2,2,Black
3r2kb/pp1Qnp1p/2n1pNpB/8/8/1P4P1/q1P2PpP/3RR1K1 b - - 3 21,h8f6 d7d8 c6d8 d1d8,2,White
2krb3/p3q3/2Pp4/4p1p1/4P3/5Pp1/PRP1B1P1/1Q3RKr w - - 1 25,g1h1 e7h7 h1g1 h7h2,2,Black
6k1/ppp3pp/1bp5/5b2/8/5Q1P/PPP3P1/R1KrqB1R w - - 0 18,f3d1 b6e3 c1b1 e1d1,2,Black
r3nk2/4Qppp/p2p4/1p3q2/3n4/PP6/1P3PPP/R3R1K1 b - - 2 24,f8g8 e7e8 a8e8 e1e8,2,White
r5k1/ppp2Qpp/8/3n4/8/2P3q1/PP1Br1Pb/3R1R1K b - - 0 21,g8h8 f7f8 a8f8 f1f8,2,White
rn4k1/1p2q1pp/4Q3/2r5/8/4P3/P5PP/3R1RK1 b - - 0 23,e7e6 d1d8 e6e8 d8e8,2,White
4r1k1/pp3p1p/3b1Q2/3p4/3N4/6PP/PPq4K/R1B1r3 w - - 0 25,d4c2 e8e2 f6f2 e2f2,2,Black
2r4k/p4p1p/6pQ/6PP/8/1b6/1PPR4/2K1r3 w - - 1 29,d2d1 c8c2 c1b1 e1d1,2,Black
r1b2bkr/ppp3pp/1nn5/4p1N1/3P4/5Q2/PP2KPPP/RNq4R b - - 1 12,c1g5 f3b3 b6c4 b3c4 c8e6 c4e6,3,Black
3q1rk1/3p1p2/1p4Rp/2r1p3/4Q3/P7/1P6/K5R1 b - - 0 32,f7g6 e4g6 g8h8 g6h6,2,White
r6r/pp3pk1/2q3p1/2pNp1Q1/2B3p1/3P4/PPP5/R1B2RK1 w - - 2 22,d5e7 h8h1 g1f2 c6f3 f2e1 f3f1 e1d2 f1e1,4,White
6k1/Q5p1/1p6/5R2/6P1/2P1r2K/4q3/8 w - - 3 44,h3h4 e2h2 h4g5 h2h6,2,Black
8/4k1pp/q2p1p2/2pPp3/4N2P/1p1PBB2/5P2/K2R3R w - - 1 31,a1b2 a6a2 b2c3 a2c2,2,Black
5r1k/3P2bp/6p1/2Q5/3p1q2/1P6/P5PP/3RRr1K w - - 1 39,e1f1 f4f1 d1f1 f8f1,2,Black
5rk1/1R4pp/p2p4/3Ppr2/4P1n1/1N4Pq/PP2B2P/4Q1K1 w - - 1 28,e2g4 f5f1 e1f1 f8f1,2,Black
6k1/6p1/p3p2p/4p1bP/1p4P1/5PQ1/PPqr4/1KR5 w - - 0 29,c1c2 d2d1 c2c1 d1c1,2,Black
4k3/6Qp/4b1p1/1p2P3/5q2/2B5/1PP3PP/2K5 w - - 1 36,c1b1 f4f1 c3e1 f1e1,2,Black
r1bqr1k1/pp3pp1/2nbp2R/3pN2Q/3P4/1P1n4/PBPN2PP/R5K1 b - - 1 15,g7h6 h5f7 g8h8 e5g6,2,White
4b1k1/pp2b3/4p1R1/3pPr1p/3P3q/1P6/P5QP/6RK b - - 0 31,e8g6 g2g6 g8h8 g6g8,2,White
6rk/3b1p1p/4pPPQ/p6P/1p1qp3/8/PPr5/2K3RR w - - 0 30,c1c2 d4d3 c2c1 g8c8,2,Black
rn1qr1k1/pp2b3/2p1pn1Q/3p2N1/8/2NB4/PPP2PPP/2KR4 b - - 1 15,e7f8 d3h7 f6h7 h6h7,2,White
r3k2r/pp1Qnppp/2p1p1b1/4q3/2B3P1/P1N4P/1PP2P2/2KR3R b kq - 1 18,e8f8 d7d8 a8d8 d1d8,2,White
r4rk1/1p3pbP/pq1p3B/2pPn3/4P3/1N3b2/PP1Q2P1/R3K2R b KQ - 0 19,g8h8 h6g7 h8g7 d2h6 g7h8 h6f6,3,White
5nk1/p4Qpp/3b4/8/4r3/P4RP1/6KP/4q3 b - - 0 26,g8h8 f7f8 d6f8 f3f8,2,White
5n1r/pk4p1/1pp5/1P3BK1/8/5Q2/q6P/3r4 b - - 11 42,a2g8 f3c6 b7b8 c6c8,2,Black
1k1r4/5p2/p3p1r1/4P2Q/2R2P2/1P6/P5RP/3q3K w - - 1 32,h5d1 d8d1 g2g1 d1g1,2,Black
r5k1/7p/p4KpQ/4Bp2/P4P2/2P5/2Pr2qP/1R6 b - - 3 30,a8f8 h6f8 g8f8 b1b8 d2d8 b8d8,3,Black
r1b1k2r/ppq2Pp1/2p4p/4p2n/2B1P3/2N1B3/PPP3P1/3R1RK1 b kq - 0 17,e8f8 e3c5 c7e7 d1d8,2,White
1k1r4/1p3pp1/2p3n1/p1q1p3/4P3/P2B2P1/1P2Q1Pr/R3R2K w - - 0 26,h1h2 d8h8 e2h5 h8h5,2,Black
3k3r/pbrnQRpp/1p6/3p4/q7/1NP5/PPK2PPP/4R3 b - - 2 20,d8c8 e7e8 h8e8 e1e8,2,White
3r1rk1/1q1p4/p3p2Q/1p6/8/P3R3/BP3PKP/3Rn3 w - - 1 28,g2f1 b7g2 f1e1 g2f2,2,Black
r6r/1ppk1ppp/p1n2q2/2bP4/B1p2P2/6n1/PP4PP/RNBQ1R1K w - - 3 14,h2g3 f6h6 d1h5 h6h5,2,Black
r4k1r/ppp2pp1/1P6/8/8/N2Q1Pqb/PP5p/R1B1R2K w - - 3 21,d3e2 h3g2 e2g2 g3e1 g2f1 e1f1,3,Black
7r/pp1q1k2/2P5/6Q1/B7/2P5/PP3P1K/3R1R2 w - - 1 30,h2g2 d7h3 g2g1 h3h1,2,White
r1b2r2/pp2pP1k/2p3pb/q1n3N1/2B5/7R/P1P2PPP/1R1Q2K1 b - - 3 19,h7g7 d1d4 e7e5 d4e5,2,White
1r6/2Rkn2R/bp2p3/bN1p4/5P2/5K2/8/8 b - - 3 46,d7d8 h7h8 e7g8 h8g8,2,White
6Qk/R5pp/1p6/4r3/8/8/Pq4PP/5R1K b - - 0 23,h8g8 a7a8 e5e8 a8e8,2,White
5rk1/6pp/R7/2P1p3/PP1nP3/8/6PP/4RrK1 w - - 1 32,e1f1 d4e2 g1h1 f8f1,2,Black
2r2Q1k/p5np/2r1p1p1/3p4/1q6/4PR2/P5PP/5RK1 b - - 3 35,c8f8 f3f8 b4f8 f1f8,2,White
2R1Qbk1/5pp1/1r1p3p/4pP2/4P3/7P/6PK/1q6 b - - 8 35,b1e4 e8f8 g8h7 f8g8,2,White
1k3r2/ppp3p1/3b4/3p4/3P2Q1/1P2P2B/PB3qP1/R4NK1 w - - 3 25,g1h1 f2f1 a1f1 f8f1,2,Black
